Site,Date,Transect No,Lat (Start),Long (Start),Lat (End),Long (End),TransLength,Investigators,Entered By,Checked By,Notes,Year,Species,Number of Individuals
Sea Palm,20210625,2,36.62804,121.92047,36.62801,121.92026,20,"PS, EC, EV",EV,NA,NA,2021,H_rufescens,0
China Rock,20210627,1,36.60627,121.95963,36.60643,121.95956,20,AJH,LD,NA,13.7-15 Underwater,2021,H_rufescens,1
China Rock,20210713,5,36.60554,121.96017,36.60537,121.96011,20,"DP,KR,EV",LD,NA,NA,2021,H_rufescens,0
China Rock,20210713,6,36.60529,121.96017,36.60515,121.96006,20,"PS,IH",LD,NA,NA,2021,H_rufescens,0
Pescadero Point,20210726,6,36.56093,121.95362,36.56085,121.95341,20,"AH, TM, KR",ADT,NA,11 Diseased urchins,2021,H_rufescens,3
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,20,"IH,PS,EV",LD,NA,NA,2021,H_rufescens,0
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,20,"DP,EC",LD,NA,"10-15 had Juv. Red Urchin, 2 6 legged bad stars one in 5-10 and one in 10-15",2021,H_rufescens,0
Point Pinos,20210624,3,36.63803,121.93687,36.63819,121.93697,20,"EV,EC",LD,NA,"AJH completed 15-20, tide was comming in.",2021,H_rufescens,0
Carmel Point,20210710,1,36.54432,121.93375,36.54414,121.93387,20,"AJH, KR, IH",EV,NA,NA,2021,H_rufescens,3
Point Pinos,20210624,4,36.63837,121.93707,NA,NA,20,"PS,IH",LD,NA,NA,2021,H_rufescens,0
Point Pinos,20210624,2,36.63791,121.93667,36.63801,121.93667,20,"KR,ADT",LD,NA,1 Diseased Urchin and 1 Blue Chiton,2021,H_rufescens,0
Point Pinos,20210624,1,36.63766,121.93625,36.63775,121.93644,20,"DP,LD",LD,NA,NA,2021,H_rufescens,0
Pescadero Point,20210725,2,36.56146,121.954217,36.561279999999996,121.95452,20,"PS,EV,LD",LD,NA,NA,2021,H_rufescens,0
Pescadero Point,20210725,1,36.56144,121.95501,36.56148,121.95447,20,"DP,IH,EC",LD,NA,NA,2021,H_rufescens,1
Pescadero Point,20210726,5,36.56099,121.95384,36.56093,121.95366,20,"LD,EV,PS",LD,NA,NA,2021,H_rufescens,5
Sea Palm,20210625,1,36.62799,121.92024,36.62784,121.92014,20,"AJH, IH, DP",EV,NA,1 Diseased Urchin,2021,H_rufescens,0
Pescadero Point,20210721,4,36.56119,121.95417,36.560108,121.95408,20,"DP,EC",LD,NA,NA,2021,H_rufescens,1
Pescadero Point,20210725,3,36.5613,121.95453,36.56121,121.95436,20,"AJH,KR,TM",LD,NA,NA,2021,H_rufescens,21
